ID,CALL,CN,TYPE,HANDICAP,NAME
06DD82D3,D-1644,E4,LS 4,,
06DD9804,D-8933,3J,LS 1f,,
06DDA655,D-8720,IAW,Speed Astir IIb,,
06DDAF96,D-9283,3X,ASW 15b,,
06DDDFBC,D-6877,3B,ASW 15b,,
,D-4711,701,Std. Libelle,,
06DD824C,D-5284,GB,DG300,,
06DDDF72,D-0436,OD,Std. Jantar,,
,D-6037,,Astir,,
06DDA7A1,D-7378,Y4,ASW 19,,
06DDAFCD,D-0669,F,LS 1d,,
06DF13A9,D-3264,HZ,Std. Jantar,,
,,,LS 4,,
,,H2,LS 4,,
,,,LS 7,,
#,old,old,#,,
06DD99D6,D-0789,N8,Std. Libelle,,
06DDA763,D-3689,GM,Std. Cirrus,,
06DDA626,D-8426,6N,Std. Jantar,,
06DDF9E2,D-6308,O8,Cobra 15,,
06DDB0AF,D-4304,304,Glasflügel 304,,
06DD8F02,D-0656,LT,LS1-d // Fuzzy?,,
